time,delta
58.46,32.400000000000006
58.46,32.366666666666674
58.46,32.36666666666666
58.46,32.36666666666666
58.46,32.36666666666666
58.47,32.266666666666666
58.47,32.2
58.47,32.16666666666667
58.47,32.06666666666668
58.47,31.933333333333323
58.47,31.933333333333337
58.47,31.900000000000006
58.47,31.83333333333333
58.47,31.766666666666666
58.47,31.700000000000003
58.48,31.666666666666657
58.48,31.633333333333326
58.48,31.566666666666663
58.48,31.599999999999994
58.48,31.63333333333334
58.48,31.63333333333334
58.48,31.63333333333334
58.48,31.66666666666667
58.48,31.66666666666667
58.48,31.66666666666667
58.49,31.60000000000001
58.49,31.53333333333333
58.49,31.46666666666667
58.49,31.39999999999999
58.49,31.299999999999997
58.49,31.23333333333332
58.49,31.19999999999999
58.49,31.166666666666657
58.49,31.166666666666657
58.49,31.13333333333334
58.5,31.066666666666663
58.5,31.066666666666663
58.5,31.066666666666663
58.5,31.066666666666663
58.5,31.099999999999994
58.5,31.099999999999994
58.5,31.099999999999994
58.5,31.099999999999994
58.5,31.13333333333334
58.5,31.166666666666657
58.51,31.099999999999994
58.51,31.066666666666663
58.51,31.099999999999994
58.51,31.066666666666663
58.51,31.066666666666663
58.51,31.0
58.51,30.96666666666667
58.51,30.866666666666674
58.51,30.83333333333333
58.51,30.799999999999997
58.52,30.799999999999997
58.52,30.799999999999997
58.52,30.86666666666666
58.52,30.83333333333333
58.52,30.833333333333343
58.52,30.866666666666674
58.52,30.900000000000006
58.52,30.900000000000006
58.52,30.866666666666674
58.52,30.86666666666666
58.53,30.83333333333333
58.53,30.799999999999997
58.53,30.766666666666666
58.53,30.766666666666666
58.53,30.700000000000003
58.53,30.633333333333326
58.53,30.566666666666663
58.53,30.53333333333333
58.53,30.46666666666667
58.53,30.400000000000006
58.54,30.400000000000006
58.54,30.400000000000006
58.54,30.366666666666674
58.54,30.333333333333343
58.54,30.333333333333343
58.54,30.366666666666674
58.54,30.400000000000006
58.54,30.433333333333337
58.54,30.433333333333323
58.54,30.433333333333323
58.55,30.400000000000006
58.55,30.400000000000006
58.55,30.299999999999997
58.55,30.299999999999997
58.55,30.233333333333334
58.55,30.200000000000003
58.55,30.133333333333326
58.55,30.10000000000001
58.55,30.066666666666677
58.55,30.03333333333333
58.56,29.96666666666667
58.56,29.933333333333337
58.56,29.933333333333337
